CustomerID,days,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
14569.0,0,1,227.39,5,1,1,511,Loyal
12423.0,0,8,1634.31,5,5,4,554,Loyal
12433.0,0,7,13375.87,5,5,5,555,VIP
16933.0,0,2,563.23,5,2,3,523,Loyal
17001.0,0,11,3989.57,5,5,5,555,VIP
14441.0,0,4,1712.8899999999999,5,4,4,544,Loyal
14446.0,0,4,1005.55,5,4,4,544,Loyal
13013.0,0,13,4810.94,5,5,5,555,VIP
13026.0,0,5,975.36,5,4,4,544,Loyal
13113.0,0,24,12245.96,5,5,5,555,VIP
13098.0,0,28,28882.44,5,5,5,555,VIP
17949.0,0,44,58030.48,5,5,5,555,VIP
16322.0,0,2,326.75,5,2,2,522,Loyal
13077.0,0,4,728.02,5,4,3,543,Loyal
13069.0,0,24,4431.44,5,5,5,555,VIP
15484.0,0,4,3590.41,5,4,5,545,Loyal
17754.0,0,5,1664.65,5,4,4,544,Loyal
17757.0,0,30,5589.44,5,5,5,555,VIP
16401.0,0,12,4098.32,5,5,5,555,VIP
13102.0,0,24,6424.09,5,5,5,555,VIP
14621.0,0,5,1788.36,5,4,4,544,Loyal
14415.0,0,13,5855.57,5,5,5,555,VIP
14422.0,0,6,4263.64,5,5,5,555,VIP
14606.0,0,90,11926.15,5,5,5,555,VIP
13263.0,0,34,7411.71,5,5,5,555,VIP
13269.0,0,15,5343.28,5,5,5,555,VIP
16446.0,0,2,168472.5,5,2,5,525,Loyal
13298.0,0,1,360.0,5,1,2,512,Loyal
13318.0,0,3,640.76,5,3,3,533,Loyal
15399.0,0,3,815.77,5,3,3,533,Loyal
12748.0,0,206,31650.78,5,5,5,555,VIP
17668.0,0,2,347.75,5,2,2,522,Loyal
17675.0,0,31,20374.28,5,5,5,555,VIP
16892.0,0,5,518.19,5,4,3,543,Loyal
14653.0,0,7,1916.7,5,5,4,554,Loyal
15311.0,0,91,60632.75,5,5,5,555,VIP
15344.0,0,3,563.94,5,3,3,533,Loyal
17644.0,0,11,2895.64,5,5,5,555,VIP
13471.0,0,4,2501.84,5,4,5,545,Loyal
17581.0,0,25,11025.24,5,5,5,555,VIP
16558.0,0,20,8338.49,5,5,5,555,VIP
12713.0,0,1,794.55,5,1,3,513,Loyal
13404.0,0,2,252.49,5,2,2,522,Loyal
13426.0,0,10,3641.32,5,5,5,555,VIP
13521.0,0,3,1070.47,5,3,4,534,Loyal
13536.0,0,7,3444.39,5,5,5,555,VIP
16626.0,0,17,4413.1,5,5,5,555,VIP
12680.0,0,4,790.81,5,4,3,543,Loyal
15796.0,0,8,2707.61,5,5,5,555,VIP
15804.0,0,13,4206.39,5,5,5,555,VIP
13510.0,0,4,1791.56,5,4,4,544,Loyal
17554.0,0,5,1952.45,5,4,4,544,Loyal
17144.0,0,2,984.57,5,2,4,524,Loyal
14702.0,0,17,3251.79,5,5,5,555,VIP
14730.0,0,8,1897.57,5,5,4,554,Loyal
13599.0,0,21,5149.92,5,5,5,555,VIP
15208.0,0,5,870.12,5,4,3,543,Loyal
12662.0,0,11,3543.78,5,5,5,555,VIP
17528.0,0,8,3628.5,5,5,5,555,VIP
17530.0,0,10,2362.53,5,5,5,555,VIP
15189.0,0,41,16225.39,5,5,5,555,VIP
17490.0,0,7,2092.32,5,5,5,555,VIP
18102.0,0,60,259657.3,5,5,5,555,VIP
15156.0,0,3,961.49,5,3,4,534,Loyal
17491.0,0,10,3558.87,5,5,5,555,VIP
12518.0,0,5,1840.89,5,4,4,544,Loyal
17428.0,0,28,17256.85,5,5,5,555,VIP
16688.0,0,4,1260.8600000000001,5,4,4,544,Loyal
17451.0,0,7,1721.3999999999999,5,5,4,554,Loyal
13680.0,0,4,3719.12,5,4,5,545,Loyal
13777.0,0,33,25977.16,5,5,5,555,VIP
13798.0,0,57,37153.85,5,5,5,555,VIP
15898.0,0,5,1383.83,5,4,4,544,Loyal
16705.0,0,20,14034.99,5,5,5,555,VIP
17405.0,0,3,1031.41,5,3,4,534,Loyal
13890.0,0,10,1883.81,5,5,4,554,Loyal
13860.0,0,5,1245.9,5,4,4,544,Loyal
17364.0,0,11,4462.68,5,5,5,555,VIP
17389.0,0,34,31833.68,5,5,5,555,VIP
14911.0,0,198,136161.83,5,5,5,555,VIP
15910.0,0,8,1228.8799999999999,5,5,4,554,Loyal
14796.0,0,17,7973.93,5,5,5,555,VIP
16833.0,0,4,1106.53,5,4,4,544,Loyal
12526.0,0,3,1172.66,5,3,4,534,Loyal
14056.0,0,23,8152.71,5,5,5,555,VIP
17243.0,0,26,8531.65,5,5,5,555,VIP
14051.0,0,23,15610.39,5,5,5,555,VIP
16794.0,0,10,1194.48,5,5,4,554,Loyal
16954.0,0,9,2085.08,5,5,5,555,VIP
12985.0,0,2,1239.38,5,2,4,524,Loyal
15694.0,0,13,6464.4,5,5,5,555,VIP
16358.0,0,4,2027.5,5,4,4,544,Loyal
12955.0,0,11,4757.16,5,5,5,555,VIP
18273.0,1,3,204.0,5,3,1,531,Loyal
12950.0,1,3,1843.0,5,3,4,534,Loyal
12935.0,1,7,2160.7,5,5,5,555,VIP
12358.0,1,2,928.0600000000001,5,2,4,524,Loyal
16368.0,1,2,479.90999999999997,5,2,2,522,Loyal
12347.0,1,7,4310.0,5,5,5,555,VIP
17266.0,1,3,296.58,5,3,2,532,Loyal
14032.0,1,11,2975.59,5,5,5,555,VIP
12569.0,1,32,3152.69,5,5,5,555,VIP
17856.0,1,4,1418.03,5,4,4,544,Loyal
17841.0,1,124,40495.99,5,5,5,555,VIP
